filepath,tone,chinese,pinyin,duration_sec
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0096.wav,4,还有七八个人，交头接耳的议论我，张着嘴，对我笑了一笑；,hái yǒu qī bā gè rén ， jiāo tóu jiē ěr dì yì lùn wǒ ， zhāng zháo zuǐ ， duì wǒ xi,5.8
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0103.wav,2,但是小孩子呢？,dàn shì xiǎo hái zi ní ？,1.75
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0112.wav,4,家里的人都装作不认识我；他们的脸色，也全同别人一样。,jiā lǐ dì rén dū zhuāng zuò bù rèn shi wǒ ； tā men dì liǎn sè ， yě quán tóng bié,5.67
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0116.wav,4,我插了一句嘴，佃户和大哥便都看我几眼。,wǒ chā liào yī jù zuǐ ， diàn hù hé dà gē pián dū kàn wǒ jī yǎn 。,4.35
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0120.wav,4,我看出他话中全是毒，笑中全是刀。,wǒ kàn chū tā huà zhōng quán shì dú ， xiào zhòng quán shì dāo 。,4.04
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0121.wav,4,他们的牙齿，全是白厉厉的排着，这就是吃人的家伙。,tā men dì yá chǐ ， quán shì bái lì lì dì pái zháo ， zhè jiù shì chī rén dì jiā h,5.99
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0123.wav,1,况且他们一翻脸，便说人是恶人。,kuàng qiě tā men yī fān liǎn ， pián shuō rén shì è rén 。,3.8
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0127.wav,2,古来时常吃人，我也还记得，可是不甚清楚。,gǔ lái shí cháng chī rén ， wǒ yě huán jì de ， kě shì bù shèn qīng chu 。,4.7
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0133.wav,1,张着嘴，同那一伙想吃人的人一样。,zhāng zháo zuǐ ， tòng nuó yī huǒ xiǎng chī rén dì rén yī yàng 。,4.18
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0137.wav,1,知道他们一定不肯放松。果然！,zhī dào tā men yī dìng bù kěn fàng sōng 。 guǒ rán ！,4.24
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0145.wav,3,养肥了，他们是自然可以多吃；我有什么好处，怎么会“好了”？,yǎng féi liào ， tā men shì zì rán kě yǐ duō chī ； wǒ yǒu shén me hǎo chu ， zěn m,5.6
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0149.wav,3,但是我有勇气，他们便越想吃我，沾光一点这勇气。,dàn shì wǒ yǒu yǒng qì ， tā men pián yuè xiǎng chī wǒ ， zhān guāng yī diǎn zhè y,5.66
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0152.wav,4,吃人的是我哥哥！我是吃人的人的兄弟！,chī rén dì shì wǒ gē ge ！ wǒ shì chī rén dì rén dì xiōng dì ！,5.11
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0156.wav,3,他对我讲书的时候，亲口说过可以“易子而食”⑸；,tā duì wǒ jiǎng shū dì shí hou ， qīn kǒu shuō guo kě yǐ yì zǐ ér shí ；,4.72
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0160.wav,3,我从前单听他讲道理，也胡涂过去；,wǒ cóng qián dān tīng tā jiǎng dào lǐ ， yě hú tu guò qu ；,3.86
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0165.wav,3,所以他们大家连络，布满了罗网，逼我自戕。,suǒ yǐ tā men dà jiā lián luò ， bù mǎn liào luó wǎng ， bī wǒ zì qiāng 。,4.41
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0167.wav,4,最好是解下腰带，挂在梁上，自己紧紧勒死；,zuì hǎo shì jiě xià yāo dài ， guà zài liáng shàng ， zì jǐ jǐn jǐn lēi sǐ ；,5.01
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0170.wav,1,——记得什么书上说，有一种东西，叫“海乙那”⑺的，,— — jì de shén me shū shàng shuō ， yǒu yī zhǒng dōng xi ， jiào hǎi yǐ nuó dì ，,4.1
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0173.wav,3,老头子眼看着地，岂能瞒得我过。,lǎo tóu zi yǎn kàn zhuó dì ， qǐ néng mán děi wǒ guo 。,4.75
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0175.wav,2,还是丧了良心，明知故犯呢？,hái shi sàng liào liáng xīn ， míng zhī gù fàn ní ？,4.24
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0186.wav,2,“从来如此，便对么？”,cóng lái rú cǐ ， pián duì me ？,3.63
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0189.wav,1,居然也是一伙；,jū rán yě shì yī huǒ ；,1.71
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0193.wav,1,这只是一条门槛，一个关头。,zhè zhǐ shì yī tiáo mén kǎn ， yī gè guān tóu 。,3.28
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0195.wav,4,十大清早，去寻我大哥；,shí dà qīng zǎo ， qù xún wǒ dà gē ；,4.44
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0206.wav,3,他们会吃我，也会吃你，一伙里面，也会自吃。,tā men kuài chī wǒ ， yě kuài chī nǐ ， yī huǒ lǐ miàn ， yě kuài zì chī 。,5.71
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0207.wav,4,但只要转一步，只要立刻改了，也就是人人太平。,dàn zhǐ yào zhuàn yī bù ， zhǐ yào lì kè gǎi le ， yě jiù shì rén rén tài píng 。,4.72
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0208.wav,2,虽然从来如此，我们今天也可以格外要好，说是不能！,suī rán cóng lái rú cǐ ， wǒ men jīn tiān yě kě yǐ gé wài yào hào ， shuō shì bù n,5.59
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0217.wav,4,这是他们的老谱！,zhè shì tā men dì lǎo pǔ ！,2.9
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0220.wav,4,那一伙人，都被陈老五赶走了。大哥也不知那里去了。,nuó yī huǒ rén ， dū bèi chén lǎo wǔ gǎn zǒu liào 。 dà gē yě bù zhī nà li qù liào,5.31
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0221.wav,3,陈老五劝我回屋子里去。屋里面全是黑沉沉的。,chén lǎo wǔ quàn wǒ huí wū zǐ lǐ qù 。 wū lǐ miàn quán shì hēi chēn chēn dì 。,4.89
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0223.wav,4,万分沉重，动弹不得；他的意思是要我死。,wàn fēn chén zhòng ， dòng tan bu dé ； tā dì yì si shì yào wǒ sǐ 。,5.42
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0231.wav,2,记得我四五岁时，坐在堂前乘凉，,jì de wǒ sì wǔ suì shí ， zuò zài táng qián chéng liáng ，,3.47
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0235.wav,2,四千年来时时吃人的地方，今天才明白，我也在其中混了多年；,sì qiān nián lái shí shí chī rén dì dì fang ， jīn tiān cái míng bai ， wǒ yě zài ,5.96
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0242.wav,4,⑴鲁迅鲁镇的酒店的格局，是和别处不同的：,lǔ xùn lǔ zhèn dì jiǔ diàn dì gé jú ， shì hé bié chù bù tóng dì ：,3.6
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0244.wav,3,做工的人，傍午傍晚散了工，每每花四文铜钱，买一碗酒，,zuò gōng dì rén ， bàng wǔ bàng wǎn sàn liào gōng ， měi měi huā sì wén tóng qián ,5.95
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0255.wav,4,掌柜是一副凶脸孔，主顾也没有好声气，教人活泼不得；,zhǎng guì shì yī fù xiōng liǎn kǒng ， zhǔ gù yě méi yǒu hào shēng qì ， jiào rén ,5.69
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0257.wav,2,孔乙己是站着喝酒而穿长衫的唯一的人。,kǒng yǐ jǐ shì zhàn zhuó hē jiǔ ér chuān cháng shān dì wéi yī dì rén 。,5.29
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0265.wav,1,孔乙己睁大眼睛说，“你怎么这样凭空污人清白”,kǒng yǐ jǐ zhēng dà yǎn jīng shuō ， nǐ zěn me zhè yàng píng kōng wū rén qīng bái,5.8
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0266.wav,1,“什么清白？我前天亲眼见你偷了何家的书，吊着打。”,shén me qīng bái ？ wǒ qián tiān qīn yǎn xiàn nǐ tōu liào hé jiā dì shū ， diào zh,5.57
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0268.wav,2,读书人的事，能算偷么？”,dú shū rén dì shì ， néng suàn tōu me ？,2.48
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0270.wav,2,听人家背地里谈论，孔乙己原来也读过书，,tìng rén jia bèi dì li tán lùn ， kǒng yǐ jǐ yuán lái yě dú guò shū ，,4.2
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0278.wav,4,“你怎的连半个秀才也捞不到呢？”,nǐ zěn dì lián bàn ge xiù cai yě lāo bù dào ní ？,4.21
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0281.wav,4,在这些时候，我可以附和着笑，掌柜是决不责备的。,zài zhè xiē shí hou ， wǒ kě yǐ fù hè zhuó xiào ， zhǎng guì shì jué bù zé bèi dì ,5.03
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0282.wav,3,而且掌柜见了孔乙己，也每每这样问他，引人发笑。,ér qiě zhǎng guì xiàn liào kǒng yǐ jǐ ， yě měi měi zhè yàng wèn tā ， yǐn rén fā ,5.05
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0285.wav,4,茴香豆的茴字，怎样写的？”,huí xiāng dòu dì huí zì ， zěn yàng xiě dì ？,4.1
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0294.wav,2,孩子吃完豆，仍然不散，眼睛都望着碟子。,hái zi chī wán dòu ， réng rán bù sàn ， yǎn jing dū wàng zhuó dié zi 。,4.58
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0297.wav,4,于是这一群孩子都在笑声里走散了。,yú shì zhè yī qún hái zi dū zài xiào shēng lǐ zǒu sàn liào 。,5.06
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0308.wav,2,这声音虽然极低，却很耳熟。看时又全没有人。,zhè shēng yīn suī rán jí dī ， què hěn ěr shú 。 kàn shí yòu quán méi yǒu rén 。,5.33
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0324.wav,4,秋天的后半夜，月亮下去了，太阳还没有出，,qiū tiān dì hòu bàn yè ， yuè liang xià qù liào ， tài yang huán méi yǒu chū ，,4.4
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0325.wav,4,只剩下一片乌蓝的天；除了夜游的东西，什么都睡着。,zhī shèng xià yī piàn wū lán dì tiān ； chú le yè yóu dì dōng xi ， shén me dū shu,5.66
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0330.wav,4,老栓接了，抖抖的装入衣袋，又在外面按了两下；,lǎo shuān jiē liào ， dǒu dǒu dì zhuāng rù yī dài ， yòu zài wài miàn àn liào liǎn,4.92
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0335.wav,3,有时也遇到几只狗，可是一只也没有叫。,yǒu shí yě yù dào jī zhǐ gǒu ， kě shì yī zhǐ yě méi yǒu jiào 。,4.24
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0337.wav,4,而且路也愈走愈分明，天也愈走愈亮了。,ér qiě lù yě yù zǒu yù fēn míng ， tiān yě yù zǒu yù liàng liào 。,5.32
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0341.wav,1,老栓又吃一惊，睁眼看时，几个人从他面前过去了。,lǎo shuān yòu chī yī jīng ， zhēng yǎn kàn shí ， jǐ ge rén zòng tā miàn qián guò ,5.18
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0350.wav,4,仿佛许多鸭，被无形的手捏住了的，向上提着。,fǎng fú xǔ duō yā ， bèi wú xíng dì shǒu niē zhù liào dì ， xiàng shàng tí zhuó 。,5.11
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0356.wav,2,那人便焦急起来，嚷道，“怕什么？怎的不拿！”,nà rén pián jiāo jí qi lai ， rǎng dào ， pà shén me ？ zěn dì bù ná ！,4.61
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0359.wav,1,老栓也似乎听得有人问他，但他并不答应；,lǎo shuān yě sì hū tīng dé yǒu rén wèn tā ， dàn tā bìng bù dā ying ；,4.61
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0363.wav,4,这四个黯淡的金字。二,zhè sì gè àn dàn dì jīn zì 。 èr,4.69
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0371.wav,4,老栓便把一个碧绿的包，一个红红白白的破灯笼，一同塞在灶里；,lǎo shuān pián bà yī gè bì lǜ dì bāo ， yī gè hóng hóng bái bái de pò dēng lóng ，,5.77
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0373.wav,4,“好香！你们吃什么点心呀？”这是驼背五少爷到了。,hǎo xiāng ！ nǐ men chī shén me diǎn xin ya ？ zhè shì tuó bèi wǔ shào ye dào liào,5.88
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0379.wav,4,十分小心的拗开了，焦皮里面窜出一道白气，,shí fēn xiǎo xīn dì niù kāi liào ， jiāo pí lǐ miàn cuàn chū yī dào bái qì ，,5.55
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0382.wav,4,两人的眼光，都仿佛要在他身上注进什么又要取出什么似的；,liǎng rén dì yǎn guāng ， dū fǎng fú yào zài tā shēn shang zhù jìn shén me yòu yà,6.0
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0384.wav,1,小栓依他母亲的话，咳着睡了。,xiǎo shuān yī tā mǔ qīn de huà ， ké zháo shuì liào 。,3.5
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0389.wav,4,“老栓只是忙。要是他的儿子”,lǎo shuān zhǐ shì máng 。 yào shi tā dì ér zi,3.66
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0400.wav,4,花白胡子一面说，一面走到康大叔面前，低声下气的问道，,huā bái hú zi yī miàn shuō ， yī miàn zǒu dào kāng dà shū miàn qián ， dī shēng xi,5.51
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0401.wav,1,“康大叔——听说今天结果的一个犯人，便是夏家的孩子，,kāng dà shū — — tīng shuō jīn tiān jié guǒ dì yī gè fàn rén ， biàn shì xià jiā d,5.64
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0411.wav,4,坐在后排的一个二十多岁的人，很现出气愤模样。,zuò zài hòu pái dì yī gè èr shí duō suì dì rén ， hěn xiàn chū qì fèn mú yàng 。,5.27
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0413.wav,4,你想：这是人话么？,nǐ xiǎng ： zhè shì rén huà me ？,2.48
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0416.wav,4,“他这贱骨头打不怕，还要说可怜可怜哩。”,tā zhè jiàn gǔ tou dǎ bù pà ， huán yào shuō kě lián kě lián li 。,5.1
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0419.wav,4,听着的人的眼光，忽然有些板滞；话也停顿了。,tìng zhuó dì rén dì yǎn guāng ， hū rán yǒu xiē bǎn zhì ； huà yě tíng dùn liào 。,5.09
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0432.wav,4,三步一歇的走。忽然见华大妈坐在地上看他，便有些踌躇，,sān bù yī xiē dì zǒu 。 hū rán jiàn huá dà mā zuò zài dì shang kàn tā ， pián yǒu ,6.0
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0434.wav,2,那坟与小栓的坟，一字儿排着，中间只隔一条小路。,nuó fén yù xiǎo shuān dì fén ， yī zì ér pái zhuó ， zhōng jiān zhī gé yī tiáo xiǎ,5.77
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0440.wav,4,华大妈跟了他指头看去，眼光便到了前面的坟，,huá dà mā gēn liào tā zhǐ tou kàn qù ， yǎn guāng pián dào liào qián miàn dì fén ,5.09
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0448.wav,4,——亲戚本家早不来了。——这是怎么一回事呢？”,— — qīn qi běn jiā zǎo bù lái liào 。 — — zhè shì zěn me yī huí shì ní ？,5.23
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0454.wav,1,微风早经停息了；枯草支支直立，有如铜丝。,wēi fēng zǎo jīng tíng xī liào ； kū cǎo zhī zhī zhí lì ， yǒu rú tóng sī 。,5.39
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0460.wav,4,嘴里自言自语的说，“这是怎么一回事呢？”,zuǐ lǐ zì yán zì yǔ dì shuō ， zhè shì zěn me yī huí shì ní ？,5.66
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0462.wav,1,一九一九年四月。,yī jiǔ yī jiǔ nián sì yuè 。,4.98
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0467.wav,4,不上一更，大家便都关门睡觉。,bù shàng yī gèng ， dà jiā pián dū guān mén shuì jiào 。,3.28
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0469.wav,4,一家便是间壁的单四嫂子，,yī jiā biàn shì jiàn bì dì dān sì sǎo zi ，,2.95
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0471.wav,1,这几天，确凿没有纺纱的声音了。,zhè jǐ tiān ， què záo méi yǒu fǎng shā dì shēng yīn liào 。,3.31
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0473.wav,3,没有声音，也只有老拱们听到。,méi yǒu shēng yīn ， yě zhǐ yǒu lǎo gǒng men tīng dào 。,4.18
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0478.wav,3,——那只有去诊何小仙了。,— — nuó zhǐ yǒu qù zhěn hé xiǎo xiān liào 。,3.13
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0489.wav,3,何小仙伸开两个指头按脉，指甲足有四寸多长，,hé xiǎo xiān shēn kāi liǎng gè zhǐ tou àn mài ， zhǐ jia zú yǒu sì cùn duō cháng ,4.79
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0490.wav,4,单四嫂子暗地纳罕，心里计算：宝儿该有活命了。,dān sì sǎo zi àn dì nà hǎn ， xīn li jì suàn ： bǎo ér gāi yǒu huó mìng liào 。,5.45
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0496.wav,1,单四嫂子接过药方，一面走，一面想。,dān sì sǎo zi jiē guò yào fāng ， yī miàn zǒu ， yī miàn xiǎng 。,4.62
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0511.wav,4,单四嫂子便接了孩子。幸而不远便是家，,dān sì sǎo zi biàn jiē liào hái zi 。 xìng ér bù yuǎn biàn shì jiā ，,4.06
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0517.wav,4,他睡了一刻，额上鼻尖都沁出一粒一粒的汗珠，,tā shuì liào yī kè ， é shàng bí jiān dū qìn chū yī lì yī lì dì hàn zhū ，,4.56
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0522.wav,4,第一个问题是棺木。,dì yī gè wèn tí shì guān mù 。,2.39
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0526.wav,4,晚上回来，说棺木须得现做，后半夜才成功。,wǎn shang huí lai ， shuō guān mù xū dé xiàn zuò ， hòu bàn yè cái chéng gōng 。,5.07
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0529.wav,4,宝儿在床上躺着，纺车静静的在地上立着。,bǎo ér zài chuáng shàng tǎng zhuó ， fǎng chē jìng jìng de zài dì shang lì zháo 。,5.58
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0536.wav,1,听得打门声音，才吃了一吓，跑出去开门。,tīng dé dǎ mén shēng yīn ， cái chī liào yī xià ， pǎo chū qù kāi mén 。,4.89
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0540.wav,4,昨天烧过一串纸钱，上午又烧了四十九卷《大悲咒》⑸；,zuó tiān shāo guò yī chuàn zhǐ qián ， shàng wǔ yòu shāo liào sì shí jiǔ juǎn dà ,4.99
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0545.wav,4,凡是动过手开过口的人都吃了饭。,fán shì dòng guò shǒu kāi guò kǒu dì rén dū chī le fàn 。,3.92
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0553.wav,4,而且也太大了，东西也太空了。,ér qiě yě tài dà liào ， dōng xi yě tài kōng liào 。,4.34
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0556.wav,1,他一面哭，一面想：,tā yī miàn kū ， yī miàn xiǎng ：,2.61
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0558.wav,3,卖许多许多钱，——我都给你。”,mài xǔ duō xǔ duō qián ， — — wǒ dū jǐ nǐ 。,4.2
C:\Users\aena zam\Downloads\speaker dataset mandarin\call_to_arms\call_to_arms_0568.wav,4,“我的冤家呀！——可怜你，——孤另另的”,wǒ dì yuān jia ya ！ — — kě lián nǐ ， — — gū lìng lìng dì,4.35
